YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,SCORE
2017,2018,1967,PRIVATE,21,Scarborough Centre,833 KENNEDY RD,7,54,80
2017,2018,1950,PRIVATE,06,York Centre,1042 SHEPPARD AVE W,4,16,73
2017,2018,1958,PRIVATE,05,York South-Weston,512 RUSTIC RD,3,23,74
2018,2018,1960,PRIVATE,20,Scarborough Southwest,3171 KINGSTON RD,4,18,65
2017,2018,1958,PRIVATE,05,York South-Weston,2595 KEELE ST,3,23,65
2017,2018,1960,PRIVATE,04,Parkdale-High Park,4033 OLD DUNDAS ST,5,47,61
2017,2018,1968,PRIVATE,24,Scarborough-Guildwood,215 MARKHAM RD,17,193,81
2017,2018,1979,PRIVATE,02,Etobicoke Centre,165 LA ROSE AVE,12,211,79
2017,2018,1960,PRIVATE,06,York Centre,118 OVERBROOK PL,3,17,74
2017,2018,1950,PRIVATE,05,York South-Weston,2605 KEELE ST,3,12,70
2017,2018,1960,PRIVATE,08,Eglinton-Lawrence,52 NEPTUNE DR,3,12,68
2017,2018,1979,TCHC,03,Etobicoke-Lakeshore,49 MABELLE AVE,13,128,67
2017,2018,1962,TCHC,03,Etobicoke-Lakeshore,57 MABELLE AVE,19,255,67
2017,2018,1910,PRIVATE,19,Beaches-East York,2 MAIN ST,3,11,52
2017,2018,1970,PRIVATE,06,York Centre,715 FINCH AVE W,11,85,77
2017,2018,1940,PRIVATE,04,Parkdale-High Park,340 HIGH PARK AVE,3,10,55
2019,2018,1915,PRIVATE,14,Toronto-Danforth,279 WOODFIELD RD,4,42,49
2017,2018,1960,PRIVATE,04,Parkdale-High Park,75 SPENCER AVE,9,71,74
2017,2018,1965,PRIVATE,04,Parkdale-High Park,30 SPRINGHURST AVE,12,122,75
2017,2018,1960,PRIVATE,13,Toronto Centre,321 SHERBOURNE ST,7,67,78
2017,2018,1950,PRIVATE,16,Don Valley East,1129 DON MILLS RD,6,46,80
2017,2018,1960,PRIVATE,16,Don Valley East,1133 DON MILLS RD,6,49,76
2018,2018,1960,PRIVATE,04,Parkdale-High Park,2861-2863 DUNDAS ST W,3,16,60
2017,2018,1968,PRIVATE,08,Eglinton-Lawrence,3000 DUFFERIN ST,18,287,84
2017,2018,2003,SOCIAL HOUSING,08,Eglinton-Lawrence,651 LAWRENCE AVE W,3,24,85
2017,2018,1972,PRIVATE,02,Etobicoke Centre,39 RICHVIEW RD,20,234,81
2017,2018,1960,PRIVATE,08,Eglinton-Lawrence,42 SARANAC BLVD,3,28,83
2017,2018,1960,PRIVATE,08,Eglinton-Lawrence,44 SARANAC BLVD,3,36,83
2017,2018,1960,PRIVATE,08,Eglinton-Lawrence,46 SARANAC BLVD,3,36,81
2017,2018,1959,PRIVATE,04,Parkdale-High Park,29 SPENCER AVE,6,54,79
2018,2018,1965,PRIVATE,04,Parkdale-High Park,31 SPENCER AVE,6,54,59
2017,2018,1960,PRIVATE,08,Eglinton-Lawrence,3240 BATHURST ST,3,28,79
2017,2018,1955,PRIVATE,05,York South-Weston,2597 KEELE ST,4,39,76
2017,2018,1960,PRIVATE,08,Eglinton-Lawrence,50 NEPTUNE DR,3,12,65
2018,2018,1950,PRIVATE,19,Beaches-East York,991 O'CONNOR DR,3,12,75
2019,2018,1953,PRIVATE,19,Beaches-East York,1161 O'CONNOR DR,3,11,68
2017,2018,1955,PRIVATE,08,Eglinton-Lawrence,54 NEPTUNE DR,3,11,76
2017,2018,1959,PRIVATE,08,Eglinton-Lawrence,61 NEPTUNE DR,3,34,64
2017,2018,1960,PRIVATE,16,Don Valley East,12 THE DONWAY E,4,40,74
2017,2018,1960,PRIVATE,16,Don Valley East,14 THE DONWAY E,4,40,73
2017,2018,1959,PRIVATE,16,Don Valley East,16 THE DONWAY E,4,61,83
2017,2018,1961,PRIVATE,16,Don Valley East,32 THE HEIGHTS DR,4,55,86
2017,2018,1968,PRIVATE,18,Willowdale,5 TANGREEN CRT,18,214,85
2017,2018,1968,PRIVATE,18,Willowdale,15 TANGREEN CRT,18,214,85
2017,2018,1957,TCHC,08,Eglinton-Lawrence,5 LEILA LANE,3,31,61
2017,2018,1969,PRIVATE,08,Eglinton-Lawrence,82 NEPTUNE DR,3,11,71
2017,2018,1969,PRIVATE,06,York Centre,4 GOLDFINCH CRT,12,95,66
2017,2018,1969,PRIVATE,06,York Centre,12 GOLDFINCH CRT,12,143,71
2017,2018,1961,PRIVATE,18,Willowdale,286 FINCH AVE W,4,47,73
2017,2018,1972,TCHC,01,Etobicoke North,44 WILLOWRIDGE RD,14,236,57
2017,2018,1988,SOCIAL HOUSING,13,Toronto Centre,223 SHERBOURNE ST,6,60,67
2017,2018,1960,PRIVATE,16,Don Valley East,1061 DON MILLS RD,4,40,74
2017,2018,1991,SOCIAL HOUSING,13,Toronto Centre,330 DUNDAS ST E,4,29,77
2017,2018,1966,PRIVATE,02,Etobicoke Centre,30 FONTENAY CRT,14,96,73
2017,2018,1969,PRIVATE,02,Etobicoke Centre,500 SCARLETT RD,14,129,95
2017,2018,1966,PRIVATE,02,Etobicoke Centre,10 ALLANHURST DR,11,108,71
2017,2018,1973,TCHC,02,Etobicoke Centre,7 CAPRI RD,20,275,71
2017,2018,1973,PRIVATE,02,Etobicoke Centre,45 LA ROSE AVE,16,156,86
2018,2018,1969,PRIVATE,13,Toronto Centre,210 OAK ST,17,260,65
