YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,SCORE
2017,2021,1959,PRIVATE,14,Toronto-Danforth,190 COSBURN AVE,6,47,78
2017,2021,1990,SOCIAL HOUSING,14,Toronto-Danforth,1480 QUEEN ST E,4,25,80
2017,2021,1960,PRIVATE,14,Toronto-Danforth,15 BATER AVE,3,34,75
2018,2021,1927,PRIVATE,14,Toronto-Danforth,12 BATER AVE,4,50,75
2017,2021,1965,PRIVATE,14,Toronto-Danforth,100 GAMBLE AVE,12,152,60
2017,2021,1962,PRIVATE,14,Toronto-Danforth,150 COSBURN AVE,12,153,79
2017,2021,1956,PRIVATE,14,Toronto-Danforth,130 COSBURN AVE,6,48,79
2017,2021,1950,PRIVATE,14,Toronto-Danforth,165 COSBURN AVE,6,83,69
2017,2021,1965,PRIVATE,14,Toronto-Danforth,175 COSBURN AVE,4,30,74
2017,2021,1968,PRIVATE,20,Scarborough Southwest,3207 KINGSTON RD,5,53,73
2017,2021,1960,PRIVATE,20,Scarborough Southwest,3131 EGLINTON AVE E,7,82,72
2017,2021,1964,PRIVATE,20,Scarborough Southwest,131 MINERVA AVE,6,83,84
2017,2021,1964,PRIVATE,20,Scarborough Southwest,121 MINERVA AVE,6,90,87
2017,2021,1969,PRIVATE,20,Scarborough Southwest,3161 EGLINTON AVE E,12,166,67
2017,2021,1967,PRIVATE,20,Scarborough Southwest,40 PARKCREST DR,12,100,80
2017,2021,1996,SOCIAL HOUSING,14,Toronto-Danforth,54 MARIGOLD AVE,4,29,81
2017,2021,1968,PRIVATE,14,Toronto-Danforth,80 GOWAN AVE,11,88,90
2017,2021,1970,TCHC,20,Scarborough Southwest,3479 ST CLAIR AVE E,8,94,58
2017,2021,1966,PRIVATE,14,Toronto-Danforth,100 GOWAN AVE,17,121,87
2017,2021,1996,SOCIAL HOUSING,14,Toronto-Danforth,17 RENWICK CRES,4,80,66
2017,2021,1995,SOCIAL HOUSING,14,Toronto-Danforth,137 SEARS ST,3,17,80
2017,2021,1955,PRIVATE,14,Toronto-Danforth,65 GAMBLE AVE,6,48,84
2017,2021,1989,SOCIAL HOUSING,14,Toronto-Danforth,970 EASTERN AVE,4,14,69
2017,2021,1960,PRIVATE,14,Toronto-Danforth,51 GAMBLE AVE,6,49,78
2017,2021,1972,TCHC,14,Toronto-Danforth,717 BROADVIEW AVE,8,69,94
2017,2021,1995,TCHC,14,Toronto-Danforth,1167 QUEEN ST E,5,40,77
2017,2021,1931,PRIVATE,14,Toronto-Danforth,9 TENNIS CRES,4,54,85
2017,2021,1993,TCHC,14,Toronto-Danforth,29 LOUVAIN AVE,4,51,71
2017,2021,1968,PRIVATE,13,Toronto Centre,240 WELLESLEY ST E,29,554,71
2017,2021,1950,SOCIAL HOUSING,14,Toronto-Danforth,793 GERRARD ST E,5,28,0
2017,2021,1981,PRIVATE,02,Etobicoke Centre,105 CLEMENT RD,7,195,91
2017,2021,1964,TCHC,20,Scarborough Southwest,682 WARDEN AVE,15,223,60
2017,2021,1993,SOCIAL HOUSING,14,Toronto-Danforth,1070 QUEEN ST E,5,177,86
2017,2021,1950,PRIVATE,03,Etobicoke-Lakeshore,26 ALBERT AVE,3,23,84
2017,2021,1993,TCHC,06,York Centre,750 WILSON HEIGHTS BLVD,4,79,86
2017,2021,1964,PRIVATE,20,Scarborough Southwest,2 NORTH DR,4,65,78
2017,2021,1950,PRIVATE,20,Scarborough Southwest,1641 KINGSTON RD,3,11,0
2017,2021,1950,PRIVATE,20,Scarborough Southwest,1633 KINGSTON RD,3,10,0
2018,2021,1949,PRIVATE,06,York Centre,12 ROSSEAU RD,3,11,76
2017,2021,1970,PRIVATE,20,Scarborough Southwest,2440 QUEEN ST E,6,24,82
2017,2021,1992,SOCIAL HOUSING,20,Scarborough Southwest,835-841 BIRCHMOUNT RD,6,102,78
2017,2021,1940,PRIVATE,20,Scarborough Southwest,1463 KINGSTON RD,3,14,0
2017,2021,1940,PRIVATE,20,Scarborough Southwest,1449 KINGSTON RD,3,14,0
2017,2021,1960,PRIVATE,06,York Centre,2956 KEELE ST,3,11,73
2017,2021,1971,PRIVATE,20,Scarborough Southwest,1140 KINGSTON RD,5,34,76
2017,2021,1940,PRIVATE,20,Scarborough Southwest,1481 KINGSTON RD,3,15,0
2017,2021,1956,PRIVATE,20,Scarborough Southwest,23 ENGELHART CRES,3,11,80
2017,2021,1956,PRIVATE,20,Scarborough Southwest,19 ENGELHART CRES,3,11,78
2020,2021,1958,PRIVATE,20,Scarborough Southwest,115 FOXRIDGE DR,3,10,69
2017,2021,1964,PRIVATE,06,York Centre,3 GOLDFINCH CRT,15,172,74
2017,2021,1959,PRIVATE,06,York Centre,35 CANYON AVE,21,237,84
2017,2021,1965,PRIVATE,06,York Centre,18 CEDARCROFT BLVD,12,117,83
2017,2021,1961,PRIVATE,06,York Centre,569 SHEPPARD AVE W,13,144,88
2017,2021,1964,PRIVATE,06,York Centre,12 ROCKFORD RD,13,128,98
2017,2021,1965,PRIVATE,06,York Centre,15 ROCKFORD RD,12,117,81
2017,2021,1965,PRIVATE,03,Etobicoke-Lakeshore,800 ROYAL YORK RD,6,60,73
2017,2021,1948,TCHC,13,Toronto Centre,260 SUMACH ST,3,48,66
2017,2021,1965,PRIVATE,14,Toronto-Danforth,50 COSBURN AVE,12,173,82
2017,2021,1960,PRIVATE,20,Scarborough Southwest,540 BIRCHMOUNT RD,4,27,73
2017,2021,1962,PRIVATE,14,Toronto-Danforth,25 COSBURN AVE,22,129,82
2017,2021,1960,PRIVATE,03,Etobicoke-Lakeshore,270 SHELDON AVE,6,74,74
2018,2021,1968,PRIVATE,02,Etobicoke Centre,63 CALLOWHILL DR,10,112,60
2017,2021,1982,SOCIAL HOUSING,03,Etobicoke-Lakeshore,256 SHELDON AVE,7,76,84
2017,2021,1960,PRIVATE,06,York Centre,3880 BATHURST ST,4,58,86
2017,2021,1960,PRIVATE,06,York Centre,3884 BATHURST ST,4,28,87
2017,2021,1979,PRIVATE,06,York Centre,300 ANTIBES DR,21,372,79
2017,2021,1971,PRIVATE,20,Scarborough Southwest,2223 EGLINTON AVE E,6,75,84
2017,2021,1922,PRIVATE,04,Parkdale-High Park,1623 QUEEN ST W,4,42,72
2017,2021,1954,PRIVATE,20,Scarborough Southwest,3000 QUEEN ST E,4,30,89
2017,2021,1972,PRIVATE,20,Scarborough Southwest,273 PHARMACY AVE,18,280,88
2017,2021,1962,TCHC,06,York Centre,12 KING HIGH AVE,3,31,78
2017,2021,1968,PRIVATE,20,Scarborough Southwest,2570 KINGSTON RD,10,118,79
2017,2021,1960,PRIVATE,20,Scarborough Southwest,1711 KINGSTON RD,3,18,70
2017,2021,1945,PRIVATE,06,York Centre,2852 KEELE ST,3,11,68
2017,2021,1968,PRIVATE,20,Scarborough Southwest,3423 ST CLAIR AVE E,4,30,85
2017,2021,1959,PRIVATE,06,York Centre,81 GARTHDALE CRT,3,10,72
2017,2021,1969,TCHC,20,Scarborough Southwest,20 EPPLEWORTH RD,3,36,66
2017,2021,1969,TCHC,20,Scarborough Southwest,30 EPPLEWORTH RD,3,45,70
2017,2021,1958,PRIVATE,04,Parkdale-High Park,150 DOWLING AVE,7,66,82
2017,2021,1968,PRIVATE,20,Scarborough Southwest,2243 EGLINTON AVE E,6,91,84
2017,2021,1968,TCHC,09,Davenport,61 PELHAM PARK GDNS,17,352,0
2017,2021,1964,PRIVATE,20,Scarborough Southwest,3744 ST CLAIR AVE E,6,88,89
2017,2021,2003,SOCIAL HOUSING,08,Eglinton-Lawrence,651 LAWRENCE AVE W,3,24,0
2017,2021,2010,PRIVATE,09,Davenport,45 LISGAR ST,14,291,83
2017,2021,2005,PRIVATE,09,Davenport,55 LISGAR ST,9,116,80
2017,2021,2011,SOCIAL HOUSING,09,Davenport,180 SUDBURY ST,18,190,78
2017,2021,1960,PRIVATE,08,Eglinton-Lawrence,851 BRIAR HILL AVE,3,10,80
2017,2021,1965,PRIVATE,08,Eglinton-Lawrence,370 RIDELLE AVE,28,214,91
2017,2021,1971,PRIVATE,09,Davenport,919 DUFFERIN ST,15,113,77
2017,2021,1967,PRIVATE,09,Davenport,65 DYNEVOR RD,9,90,79
2017,2021,1967,PRIVATE,14,Toronto-Danforth,70 CAMBRIDGE AVE,21,275,88
2017,2021,1940,PRIVATE,14,Toronto-Danforth,849 BROADVIEW AVE,4,32,89
2017,2021,1955,PRIVATE,04,Parkdale-High Park,99 DOWLING AVE,5,111,84
2017,2021,1973,PRIVATE,04,Parkdale-High Park,146 DOWLING AVE,7,68,61
2017,2021,1931,PRIVATE,04,Parkdale-High Park,131 DUNN AVE,3,29,73
2017,2021,1960,PRIVATE,04,Parkdale-High Park,35 SPENCER AVE,7,80,84
2017,2021,1968,PRIVATE,02,Etobicoke Centre,695 MARTIN GROVE RD,12,142,73
2017,2021,1968,PRIVATE,09,Davenport,161 OAKWOOD AVE,19,151,84
2017,2021,1959,PRIVATE,04,Parkdale-High Park,60 TYNDALL AVE,9,69,78
2017,2021,1989,TCHC,14,Toronto-Danforth,39 HARCOURT AVE,3,15,86
2017,2021,1967,SOCIAL HOUSING,09,Davenport,661 DUFFERIN ST,13,112,72
2017,2021,1957,PRIVATE,04,Parkdale-High Park,169 JAMESON AVE,8,72,78
2017,2021,1965,PRIVATE,04,Parkdale-High Park,40 TYNDALL AVE,7,65,79
2017,2021,1973,PRIVATE,02,Etobicoke Centre,120 WIDDICOMBE HILL BLVD,17,233,81
2017,2021,1974,PRIVATE,02,Etobicoke Centre,73 WIDDICOMBE HILL BLVD,17,228,80
2018,2021,1929,PRIVATE,09,Davenport,927 ST CLAIR AVE W,4,23,81
2017,2021,1968,PRIVATE,09,Davenport,323 RUSHOLME RD,20,226,76
2017,2021,1955,PRIVATE,09,Davenport,14 RUSHOLME DR,4,22,79
2017,2021,1962,PRIVATE,04,Parkdale-High Park,90 TYNDALL AVE,18,120,82
2017,2021,1969,PRIVATE,09,Davenport,357 RUSHOLME RD,16,267,76
2017,2021,2008,PRIVATE,09,Davenport,767 DOVERCOURT RD,3,19,76
2017,2021,1967,PRIVATE,09,Davenport,730 DOVERCOURT RD,20,356,79
2019,2021,1963,PRIVATE,04,Parkdale-High Park,190 JAMESON AVE,11,62,75
2017,2021,1967,PRIVATE,04,Parkdale-High Park,91 JAMESON AVE,11,76,79
2017,2021,1959,PRIVATE,04,Parkdale-High Park,87 JAMESON AVE,9,91,78
2017,2021,1910,SOCIAL HOUSING,04,Parkdale-High Park,149 JAMESON AVE,5,48,85
2017,2021,1969,PRIVATE,02,Etobicoke Centre,500 SCARLETT RD,14,129,85
2017,2021,1982,TCHC,13,Toronto Centre,171 FRONT ST E,3,61,73
2017,2021,1970,PRIVATE,14,Toronto-Danforth,60 GOWAN AVE,21,118,87
2017,2021,1966,PRIVATE,06,York Centre,4190 BATHURST ST,9,80,77
2017,2021,1965,PRIVATE,06,York Centre,4750 BATHURST ST,3,64,78
2017,2021,1976,SOCIAL HOUSING,04,Parkdale-High Park,1355 KING ST W,11,136,82
2017,2021,1962,PRIVATE,04,Parkdale-High Park,47 SPENCER AVE,5,56,80
2017,2021,1952,PRIVATE,04,Parkdale-High Park,77 SPENCER AVE,6,56,81
2017,2021,1962,PRIVATE,06,York Centre,4415 BATHURST ST,14,167,81
2017,2021,1969,PRIVATE,06,York Centre,4350 BATHURST ST,6,35,91
2017,2021,1965,TCHC,20,Scarborough Southwest,3171 EGLINTON AVE E,12,161,66
2017,2021,1960,PRIVATE,06,York Centre,4383 BATHURST ST,13,142,79
2017,2021,1972,TCHC,20,Scarborough Southwest,30 GORDONRIDGE PL,17,231,72
2017,2021,1983,SOCIAL HOUSING,06,York Centre,4266 BATHURST ST,9,130,86
2017,2021,1917,PRIVATE,04,Parkdale-High Park,189 DOWLING AVE,4,10,57
2017,2021,1930,PRIVATE,04,Parkdale-High Park,469 RONCESVALLES AVE,4,15,77
2017,2021,1952,PRIVATE,03,Etobicoke-Lakeshore,2557 LAKE SHORE BLVD W,4,26,84
2017,2021,1950,PRIVATE,14,Toronto-Danforth,120 COSBURN AVE,6,57,86
2017,2021,1960,PRIVATE,14,Toronto-Danforth,101 COSBURN AVE,10,73,92
2017,2021,1992,SOCIAL HOUSING,02,Etobicoke Centre,1540 KIPLING AVE,8,128,92
2017,2021,1957,PRIVATE,03,Etobicoke-Lakeshore,1276 ISLINGTON AVE,13,202,82
2017,2021,1968,TCHC,20,Scarborough Southwest,3485 ST CLAIR AVE E,9,97,53
2017,2021,1969,PRIVATE,13,Toronto Centre,280 WELLESLEY ST E,32,571,81
2017,2021,1968,PRIVATE,12,Toronto-St. Paul's,620 NORTHCLIFFE BLVD,9,68,78
2017,2021,1950,PRIVATE,03,Etobicoke-Lakeshore,3 HEATHERDALE RD,4,35,79
2017,2021,1950,PRIVATE,03,Etobicoke-Lakeshore,1 HEATHERDALE RD,4,35,83
2017,2021,1994,SOCIAL HOUSING,13,Toronto Centre,31 PRINCESS ST,10,82,82
2017,2021,1985,SOCIAL HOUSING,15,Don Valley West,18 THORNCLIFFE PARK DR,7,109,84
2017,2021,1959,PRIVATE,15,Don Valley West,22 THORNCLIFFE PARK DR,7,60,78
2017,2021,1962,PRIVATE,15,Don Valley West,42 THORNCLIFFE PARK DR,6,60,85
2017,2021,1956,PRIVATE,03,Etobicoke-Lakeshore,4 CROWN HILL PL,5,32,82
2017,2021,1900,SOCIAL HOUSING,13,Toronto Centre,244 CHURCH ST,3,60,76
2017,2021,1963,PRIVATE,01,Etobicoke North,70 ESTHER LORRIE DR,7,97,84
2017,2021,1966,PRIVATE,09,Davenport,128 SHERIDAN AVE,7,68,76
2017,2021,1960,PRIVATE,04,Parkdale-High Park,188 JAMESON AVE,8,47,78
2017,2021,1955,PRIVATE,03,Etobicoke-Lakeshore,9 CROWN HILL PL,5,60,79
2017,2021,1955,PRIVATE,09,Davenport,2 REGAL RD,8,104,74
2017,2021,1960,PRIVATE,01,Etobicoke North,15 TORBOLTON DR,3,19,83
2017,2021,1919,PRIVATE,11,University-Rosedale,334 BLOOR ST W,3,24,66
2019,2021,1957,PRIVATE,03,Etobicoke-Lakeshore,10 RIVERWOOD PKWY,3,52,81
2021,2021,1972,PRIVATE,11,University-Rosedale,44 CHARLES ST W,51,793,81
2018,2021,1957,PRIVATE,03,Etobicoke-Lakeshore,39 RIVERWOOD PKWY,4,23,73
2017,2021,1973,PRIVATE,16,Don Valley East,45 WYNFORD HEIGHTS CRES,21,346,76
2017,2021,1962,PRIVATE,05,York South-Weston,2190 WESTON RD,8,76,79
2017,2021,1967,PRIVATE,16,Don Valley East,25 ST DENNIS DR,17,297,76
2017,2021,1965,PRIVATE,11,University-Rosedale,50 HILLSBORO AVE,24,196,77
2017,2021,1979,PRIVATE,05,York South-Weston,1750 LAWRENCE AVE W,4,70,77
2017,2021,1960,PRIVATE,13,Toronto Centre,88 WELLESLEY ST E,8,71,86
2017,2021,1960,PRIVATE,13,Toronto Centre,91 WELLESLEY ST E,7,61,79
2017,2021,1923,PRIVATE,13,Toronto Centre,214 WELLESLEY ST E,3,38,87
2017,2021,1952,PRIVATE,04,Parkdale-High Park,150 FERMANAGH AVE,5,66,80
2017,2021,1963,PRIVATE,13,Toronto Centre,80 WELLESLEY ST E,12,76,76
2017,2021,1960,PRIVATE,08,Eglinton-Lawrence,225 WILSON AVE,3,20,94
2017,2021,1976,PRIVATE,01,Etobicoke North,50 PANORAMA CRT,19,223,51
2017,2021,1974,PRIVATE,01,Etobicoke North,46 PANORAMA CRT,19,222,57
2017,2021,1960,PRIVATE,05,York South-Weston,2292 WESTON RD,8,65,81
2017,2021,1966,PRIVATE,11,University-Rosedale,88 BERNARD AVE,11,82,76
2017,2021,1956,PRIVATE,03,Etobicoke-Lakeshore,2 BASKING RIDGE,4,24,69
2017,2021,1963,PRIVATE,16,Don Valley East,111 COMBERMERE DR,7,81,74
2017,2021,1962,PRIVATE,16,Don Valley East,85 BARTLEY DR,4,15,67
2017,2021,1974,PRIVATE,05,York South-Weston,33 KING ST,27,420,73
2019,2021,2018,PRIVATE,05,York South-Weston,22 JOHN ST,31,369,98
2017,2021,1966,PRIVATE,05,York South-Weston,11 GULLIVER RD,6,42,82
2017,2021,1959,PRIVATE,03,Etobicoke-Lakeshore,66 STATION RD,3,16,84
2017,2021,1973,PRIVATE,03,Etobicoke-Lakeshore,24 MABELLE AVE,36,540,94
2017,2021,1959,PRIVATE,16,Don Valley East,10 ELVASTON DR,3,20,68
2017,2021,1971,PRIVATE,03,Etobicoke-Lakeshore,1294 ISLINGTON AVE,8,77,84
2017,2021,1971,PRIVATE,03,Etobicoke-Lakeshore,1286 ISLINGTON AVE,8,77,87
2018,2021,1927,PRIVATE,11,University-Rosedale,828 SHAW ST,3,17,0
2017,2021,1968,PRIVATE,11,University-Rosedale,206 ST GEORGE ST,11,105,75
2017,2021,1954,PRIVATE,05,York South-Weston,150 CULFORD RD,5,110,72
2017,2021,1962,PRIVATE,03,Etobicoke-Lakeshore,8 CROWN HILL PL,4,35,70
2017,2021,1960,PRIVATE,05,York South-Weston,2432 KEELE ST,3,12,88
2017,2021,1992,SOCIAL HOUSING,19,Beaches-East York,20 TRENT AVE,8,111,92
2017,2021,1968,PRIVATE,11,University-Rosedale,149 ST GEORGE ST,7,48,74
2017,2021,1962,PRIVATE,16,Don Valley East,80 BARTLEY DR,3,10,59
2017,2021,1961,PRIVATE,19,Beaches-East York,191 KENILWORTH AVE,4,31,85
2017,2021,1968,PRIVATE,11,University-Rosedale,20 PRINCE ARTHUR AVE,23,193,81
2017,2021,1969,PRIVATE,16,Don Valley East,10 GRENOBLE DR,17,284,68
2017,2021,1966,PRIVATE,16,Don Valley East,45 GRENOBLE DR,28,217,77
2017,2021,1970,TCHC,05,York South-Weston,20-50 FALSTAFF AVE,19,224,81
2017,2021,1963,PRIVATE,16,Don Valley East,121 COMBERMERE DR,8,66,79
2017,2021,1958,PRIVATE,03,Etobicoke-Lakeshore,60 FIFTEENTH ST,3,11,88
2017,2021,1962,PRIVATE,01,Etobicoke North,39 LEDUC DR,3,13,60
2018,2021,1955,PRIVATE,19,Beaches-East York,55 LEE AVE,3,12,83
2017,2021,1966,PRIVATE,02,Etobicoke Centre,289 THE KINGSWAY,17,73,88
2017,2021,1950,PRIVATE,15,Don Valley West,896 EGLINTON AVE E,4,43,81
2017,2021,1970,PRIVATE,15,Don Valley West,88 ERSKINE AVE,27,491,86
2017,2021,1920,PRIVATE,13,Toronto Centre,80-82 PEMBROKE ST,4,11,76
2017,2021,1994,TCHC,02,Etobicoke Centre,1025 SCARLETT RD,11,128,67
2019,2021,1958,PRIVATE,06,York Centre,2 DORADO CRT,4,87,58
2017,2021,1962,PRIVATE,15,Don Valley West,972 EGLINTON AVE E,6,49,79
2017,2021,1954,PRIVATE,15,Don Valley West,964 EGLINTON AVE E,3,12,73
2017,2021,1956,PRIVATE,03,Etobicoke-Lakeshore,170 BERRY RD,4,22,80
2017,2021,1954,PRIVATE,03,Etobicoke-Lakeshore,138 BERRY RD,4,22,81
2017,2021,1954,PRIVATE,03,Etobicoke-Lakeshore,136 BERRY RD,4,22,80
2017,2021,1954,PRIVATE,03,Etobicoke-Lakeshore,134 BERRY RD,4,22,81
2018,2021,1952,PRIVATE,03,Etobicoke-Lakeshore,176 BERRY RD,4,29,72
2017,2021,1970,PRIVATE,14,Toronto-Danforth,1175 BROADVIEW AVE,12,134,91
2017,2021,1965,PRIVATE,13,Toronto Centre,25 ST MARY ST,25,260,86
2017,2021,1927,PRIVATE,13,Toronto Centre,16 ST JOSEPH ST,4,37,66
2017,2021,1960,PRIVATE,11,University-Rosedale,145 ST GEORGE ST,12,130,82
2017,2021,1964,PRIVATE,01,Etobicoke North,3 TORBOLTON DR,3,18,68
2017,2021,1968,PRIVATE,03,Etobicoke-Lakeshore,6 TWENTY FOURTH ST,7,81,88
2017,2021,1965,PRIVATE,13,Toronto Centre,100 MAITLAND ST,18,102,86
2017,2021,1965,PRIVATE,03,Etobicoke-Lakeshore,4 SUPERIOR AVE,7,55,68
2021,2021,1950,PRIVATE,16,Don Valley East,4 WINGREEN CRT,3,11,80
2017,2021,1891,SOCIAL HOUSING,13,Toronto Centre,434 GERRARD ST E,3,16,79
2021,2021,1960,PRIVATE,16,Don Valley East,10 WINGREEN CRT,3,11,78
2021,2021,1950,PRIVATE,16,Don Valley East,11 WINGREEN CRT,3,11,79
2017,2021,1901,SOCIAL HOUSING,13,Toronto Centre,127 ISABELLA ST,3,20,70
2017,2021,1960,PRIVATE,01,Etobicoke North,30 TORBOLTON DR,3,16,64
2017,2021,1959,PRIVATE,19,Beaches-East York,540 DAWES RD,4,43,79
2017,2021,1958,PRIVATE,13,Toronto Centre,55 CHARLES ST E,9,75,77
2017,2021,1940,PRIVATE,13,Toronto Centre,83 GLOUCESTER ST,3,27,79
2017,2021,1965,PRIVATE,13,Toronto Centre,55 ISABELLA ST,12,82,84
2017,2021,1962,PRIVATE,19,Beaches-East York,11 GLENBURN AVE,6,58,82
2018,2021,2007,SOCIAL HOUSING,01,Etobicoke North,68 BERGAMOT AVE,4,68,74
2017,2021,1958,PRIVATE,15,Don Valley West,65 KEEWATIN AVE,4,50,81
2017,2021,1915,PRIVATE,13,Toronto Centre,44 HUNTLEY ST,3,26,74
2017,2021,1973,TCHC,01,Etobicoke North,2067 ISLINGTON AVE,12,162,53
2017,2021,1973,TCHC,01,Etobicoke North,2063 ISLINGTON AVE,12,162,47
2017,2021,1959,PRIVATE,13,Toronto Centre,108 ISABELLA ST,11,262,78
2017,2021,1959,PRIVATE,13,Toronto Centre,89 ISABELLA ST,13,76,81
2017,2021,1960,PRIVATE,13,Toronto Centre,135 ISABELLA ST,9,79,82
2017,2021,1967,PRIVATE,12,Toronto-St. Paul's,50 HOLLY ST,15,145,76
2018,2021,1961,PRIVATE,16,Don Valley East,2126 VICTORIA PARK AVE,3,11,66
2017,2021,1959,PRIVATE,03,Etobicoke-Lakeshore,2307 LAKE SHORE BLVD W,4,38,93
2017,2021,1957,PRIVATE,03,Etobicoke-Lakeshore,2305 LAKE SHORE BLVD W,4,38,93
2017,2021,1959,PRIVATE,07,Humber River-Black Creek,2431 FINCH AVE W,6,115,72
2017,2021,1965,PRIVATE,03,Etobicoke-Lakeshore,2 SUPERIOR AVE,5,47,64
2017,2021,1960,PRIVATE,05,York South-Weston,1970 KEELE ST,4,45,61
2017,2021,1994,SOCIAL HOUSING,14,Toronto-Danforth,1320 GERRARD ST E,5,45,92
2019,2021,1900,PRIVATE,11,University-Rosedale,378 MARKHAM ST,4,17,51
2019,2021,1954,PRIVATE,05,York South-Weston,131 WOODWARD AVE,3,10,84
2018,2021,1954,PRIVATE,05,York South-Weston,143 WOODWARD AVE,3,10,88
2017,2021,1955,PRIVATE,05,York South-Weston,135 WOODWARD AVE,3,10,89
2017,2021,1950,PRIVATE,06,York Centre,17 ANTHONY RD,3,11,77
2017,2021,1957,PRIVATE,05,York South-Weston,1960 KEELE ST,3,28,75
2017,2021,1959,PRIVATE,15,Don Valley West,28 UPPER CANADA DR,4,54,81
2020,2021,1968,PRIVATE,01,Etobicoke North,111 BLACKFRIAR AVE,3,39,65
2017,2021,1957,PRIVATE,05,York South-Weston,2246 KEELE ST,3,22,75
2017,2021,1955,PRIVATE,03,Etobicoke-Lakeshore,2696 LAKE SHORE BLVD W,4,27,83
2017,2021,1967,PRIVATE,05,York South-Weston,1440 LAWRENCE AVE W,13,207,79
2017,2021,1994,SOCIAL HOUSING,19,Beaches-East York,656 KINGSTON RD,6,106,78
2017,2021,1968,PRIVATE,12,Toronto-St. Paul's,221 BALLIOL ST,17,272,79
2017,2021,1969,PRIVATE,12,Toronto-St. Paul's,60 PLEASANT BLVD,32,163,93
2017,2021,1969,PRIVATE,01,Etobicoke North,70 REXDALE BLVD,6,100,74
2017,2021,1989,SOCIAL HOUSING,01,Etobicoke North,88 HUMBER COLLEGE BLVD,4,119,79
2017,2021,1968,PRIVATE,04,Parkdale-High Park,12 ELM GROVE AVE,4,32,73
2019,2021,1953,PRIVATE,05,York South-Weston,2701 EGLINTON AVE W,4,49,81
2019,2021,1928,PRIVATE,13,Toronto Centre,50 GLOUCESTER ST,3,35,74
2017,2021,1971,PRIVATE,07,Humber River-Black Creek,2600 FINCH AVE W,7,113,74
2017,2021,1970,SOCIAL HOUSING,19,Beaches-East York,17 EDGEWOOD AVE,3,30,68
2017,2021,1992,SOCIAL HOUSING,05,York South-Weston,10 MAPLE LEAF DR,10,150,85
2017,2021,1957,PRIVATE,03,Etobicoke-Lakeshore,22 A LONG BRANCH AVE,3,11,90
2017,2021,1960,PRIVATE,08,Eglinton-Lawrence,60 WASDALE CRES,3,11,78
2019,2021,2019,PRIVATE,08,Eglinton-Lawrence,25 MONTGOMERY AVE,27,235,97
2017,2021,1969,PRIVATE,13,Toronto Centre,77 HOWARD ST,24,381,72
2017,2021,1960,PRIVATE,13,Toronto Centre,48 ISABELLA ST,10,84,83
2017,2021,1955,PRIVATE,13,Toronto Centre,42 ISABELLA ST,4,24,86
2017,2021,1972,TCHC,01,Etobicoke North,44 WILLOWRIDGE RD,14,236,46
2017,2021,1960,PRIVATE,06,York Centre,921 WILSON AVE,4,44,75
2017,2021,1965,PRIVATE,15,Don Valley West,31 UPPER CANADA DR,4,61,76
2017,2021,1960,PRIVATE,13,Toronto Centre,60 GLOUCESTER ST,11,77,83
2017,2021,1965,PRIVATE,15,Don Valley West,29 UPPER CANADA DR,4,54,79
2017,2021,1959,PRIVATE,15,Don Valley West,30 UPPER CANADA DR,4,54,82
2017,2021,1960,PRIVATE,15,Don Valley West,440 EGLINTON AVE E,10,90,82
2017,2021,1955,PRIVATE,05,York South-Weston,31 CLEARVIEW HTS,4,43,67
2017,2021,1965,PRIVATE,16,Don Valley East,9 WINGREEN CRT,3,11,79
2017,2021,1960,PRIVATE,15,Don Valley West,2707 YONGE ST,4,48,81
2017,2021,1990,TCHC,15,Don Valley West,2755 YONGE ST,4,41,78
2017,2021,1960,PRIVATE,24,Scarborough-Guildwood,45 GREENBRAE CRCT,6,112,79
2017,2021,1967,PRIVATE,03,Etobicoke-Lakeshore,618 EVANS AVE,3,25,83
2017,2021,1971,TCHC,22,Scarborough-Agincourt,2739 VICTORIA PARK AVE,15,203,79
2017,2021,1980,TCHC,07,Humber River-Black Creek,5 NEEDLE FIRWAY,12,137,73
2017,2021,1966,PRIVATE,11,University-Rosedale,35 WALMER RD,15,174,77
2017,2021,1928,PRIVATE,13,Toronto Centre,58 MAITLAND ST,4,45,73
2017,2021,1956,PRIVATE,05,York South-Weston,96 TRETHEWEY DR,3,12,71
2017,2021,1980,PRIVATE,13,Toronto Centre,90 ADELAIDE ST E,8,60,80
2017,2021,1968,TCHC,10,Spadina-Fort York,91 AUGUSTA AVE,14,257,69
2017,2021,1949,PRIVATE,03,Etobicoke-Lakeshore,2684 BLOOR ST W,3,21,81
2017,2021,1949,PRIVATE,03,Etobicoke-Lakeshore,2686 BLOOR ST W,3,21,87
2017,2021,1958,PRIVATE,19,Beaches-East York,474 KINGSTON RD,4,38,87
2017,2021,1985,SOCIAL HOUSING,19,Beaches-East York,550 KINGSTON RD,7,138,77
2017,2021,1958,PRIVATE,05,York South-Weston,1605 JANE ST,3,28,65
2017,2021,1940,PRIVATE,03,Etobicoke-Lakeshore,140 BERRY RD,4,14,69
2017,2021,1983,SOCIAL HOUSING,13,Toronto Centre,90 SHUTER ST,10,77,74
2017,2021,1952,PRIVATE,19,Beaches-East York,332 CHISHOLM AVE,3,12,67
